"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"housing_years","original","kmeans",2,"adjusted_rand_index",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",2,"clustering_accuracy",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",2,"purity",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",2,"silhouette",30,0.656544353159961,0,0,0.656544353159961,0.656544353159961,0.656544353159961,0.656544353159961,0.95
"housing_years","original","kmeans",2,"normalized_mutual_information",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",2,"davies_bouldin",30,0.444667378023024,0,0,0.444667378023024,0.444667378023024,0.444667378023024,0.444667378023024,0.95
"housing_years","original","kmeans",2,"calinski_harabasz",30,95.2243815479214,0,0,95.2243815479214,95.2243815479214,95.2243815479214,95.2243815479214,0.95
"housing_years","original","kmeans",2,"total_withinss",30,37.8459006519104,0,0,37.8459006519104,37.8459006519104,37.8459006519104,37.8459006519104,0.95
"housing_years","original","kmeans",2,"runtime_sec",30,0.0036666666666747,0.00668675135460464,0.0012208281844484,0.00116979267588979,0.00616354065745961,0,0.0200000000000955,0.95
"housing_years","original","kmeans",3,"adjusted_rand_index",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",3,"clustering_accuracy",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",3,"purity",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",3,"silhouette",30,0.601444727389597,0,0,0.601444727389597,0.601444727389597,0.601444727389597,0.601444727389597,0.95
"housing_years","original","kmeans",3,"normalized_mutual_information",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",3,"davies_bouldin",30,0.492138001901209,0,0,0.492138001901209,0.492138001901209,0.492138001901209,0.492138001901209,0.95
"housing_years","original","kmeans",3,"calinski_harabasz",30,123.505133851165,0,0,123.505133851165,123.505133851165,123.505133851165,123.505133851165,0.95
"housing_years","original","kmeans",3,"total_withinss",30,16.1174705188576,0,0,16.1174705188576,16.1174705188576,16.1174705188576,16.1174705188576,0.95
"housing_years","original","kmeans",3,"runtime_sec",30,0.00199999999999818,0.00610257153258174,0.0011141720290613,-0.000278737660273125,0.00427873766026949,0,0.0199999999999818,0.95
"housing_years","original","kmeans",4,"adjusted_rand_index",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",4,"clustering_accuracy",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",4,"purity",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",4,"silhouette",30,0.576943468633088,0,0,0.576943468633088,0.576943468633088,0.576943468633088,0.576943468633088,0.95
"housing_years","original","kmeans",4,"normalized_mutual_information",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","original","kmeans",4,"davies_bouldin",30,0.48737560023627,0,0,0.48737560023627,0.48737560023627,0.48737560023627,0.48737560023627,0.95
"housing_years","original","kmeans",4,"calinski_harabasz",30,156.242355848672,1.75044124845112e-14,3.19585385788062e-15,156.242355848672,156.242355848672,156.242355848672,156.242355848672,0.95
